"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"ACGBY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","AGRICULTURAL B/C UNSP/ADR","China","Agricultural Bank of China"
"ACGFY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ACCORDIA GOLF CO LTD ADR","Japan","Accordia Golf Co., Ltd."
"ACGI","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","AMACORE GROUP INC A","USA","Amacore Group, Inc. (The)"
"ACGPF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ACCELL GROUP NV ORD","The Netherlands","Accell Group NV"
"ACGX","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ALLIANCE CREATIVE GRP INC","USA","Alliance Creative Group, Inc."
"ACHI","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","R1 RCM INC","USA","R1 RCM Inc."
"ACKAY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ARCELIK A S UNSP/ADR","Turkey","Arcelik  A.S."
"ACKDF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AUCKLAND INTL LTD ORD","New Zealand","Auckland International Airport Ltd."
"ACKRF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","AMERICAN CREEK RES LTD","Canada","American Creek Resources, Ltd."
"ACLD","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ACQUIRE LTD","Canada","Acquire Ltd."
"ACLZ","OTC Link/BB","05/02/2017","OTCQB","N","Common Stock","","ACCELERIZE INC","USA","Accelerize Inc."
"ACMB","OTC Link","05/02/2017","OTCQB","N","Common Stock","","AGRO CAPITAL MNGMT CORP","USA","Agro Capital Management Corp"
"ACMC","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","AMER CHURCH MTGE CO","USA","American Church Mortgage Co."
"ACMDY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ATLAS CONS MNG&DEV AT ADR","Philippines","Atlas Consolidated Mining & Development Corp."
"ACMT","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ACMAT CORP","USA","ACMAT Corp."
"ACMTA","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","A","ACMAT CORP A","USA","ACMAT Corp."
"ACMUY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ACOM CO LTD S/ADR","Japan","Acom Co. Ltd."
"ACNDF","OTC Link","05/02/2017","OTC Pink Current","N","Fund","","ASCENDAS INDIA TRUST UNIT","Singapore","Ascendas India Trust"
"ACNE","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ALICE CONSOL MINES INC","USA","Alice Consolidated Mines, Inc."
"ACNI","OTC Link","05/02/2017","OTC Pink No Information","Y","Common Stock","","AMER CMNTY NEWSPAPRS INC","USA","American Community Newspapers, Inc."
"ACNV","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ACCELERA INNOVATIONS INC","USA","Accelera Innovations, Inc."
"ACOL","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ACOLOGY INC","USA","Acology Inc."
"ACOPF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","A2 MILK CO LTD","New Zealand","A2 Milk Co Ltd."
"ACPGF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ATACAMA PACIFIC GOLD CORP","Canada","Atacama Pacific Gold Corp."
"ACRB","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ASIA CARBON INDUSTRIES","China","Asia Carbon Industries, Inc."
"ACRFF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ACCOR SA","France","Accor SA Ltd."
"ACRL","OTC Link","05/02/2017","OTCQB","N","Common Stock","","ATACAMA RESOURCES INTL","USA","Atacama Resources International, Inc."
"ACRT","OTC Link","05/02/2017","OTC Pink Current","N","Common Stock","","ADVANCED CREDIT TECHS INC","USA","Advanced Credit Technologies Inc"
"ACSAF","OTC Link","05/02/2017","OTC Pink Current","N","Ordinary Shares","","ACS ACTIVIDADES DE CONSTR","Spain","ACS Actividades De Construccion Y Servicios SA"
"ACSAY","OTC Link","05/02/2017","OTC Pink Current","N","American Depository Receipts","","ACS ACTIVIDADS CNS UN/ADR","Spain","ACS Actividades De Construccion Y Servicios SA"
"ACSEF","OTC Link","05/02/2017","OTC Pink No Information","N","Ordinary Shares","","ACS MOTION CONTROL LTD","Israel","ACS Motion Control, Ltd."
"ACSX","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","A C SIMMONDS & SONS INC","Canada","A.C. Simmonds and Sons Inc."
"ACTL","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","ARTEC GLOBAL MEDIA INC","USA","Artec Global Media, Inc."
"ACUG","OTC Link","05/02/2017","OTC Pink Limited","N","Common Stock","","A & C UNITED AGRICULTURE","USA","A & C United Agriculture Developing Inc"
"ACUIF","OTC Link","05/02/2017","OTCQB","N","Ordinary Shares","","ACUITYADS HLDGS INC ORD","Canada","AcuityAds Hldgs Inc."
"ACUS","OTC Link","05/02/2017","OTC Pink No Information","N","Common Stock","","ACUSPHERE INC NEW","USA","Acusphere, Inc."
